year,fatilities,lat,lng
2022,132,23.374504,110.914623
2016,5,30.77712,121.41964
2012,2,37.039881,79.87447
2010,44,47.751944,129.018889
2004,53,40.566454,110.002197
2002,112,38.91399,121.6147
2000,1,36.857201,117.216003
2000,42,30.64353,114.32472
1999,61,27.577905,120.49161
1997,1,24.539071,118.134368
1997,35,22.55651,114.11912
1996,2,39.24719,122.67806
1994,160,34.437111,108.757329
1993,12,43.98052,87.474167
1993,2,25.99961,119.33092
1989,1,25.99961,119.33092
1993,56,38.322626,106.388584
1992,141,25.27361,110.29002
1992,14,35.12685,104.62559
1992,107,32.05789,118.79843
1990,46,23.395908,113.30797
1990,82,23.395908,113.30797
1982,25,23.395908,113.30797
1989,34,31.192209,121.334297
1988,44,36.08822,111.51962
1988,108,29.4794,106.370608
1986,6,36.515,103.62
1985,38,36.857201,117.216003
1983,11,25.23789,110.29002
1982,112,25.696778,99.28806
1980,26,28.196667,113.74596
1976,40,28.196667,113.74596
1973,29,26.57242,106.69473
1963,20,25.0453,102.70973
1961,15,34.84459,113.1412
1958,14,34.265814,108.954094
1954,10,20.01,110.34863
1949,17,20.0372,110.34528
1949,38,36.06996,103.75021
1948,9,31.66221,121.12112
1948,19,36.06623,120.38299
1948,25,22.36167,114.313343
1948,11,41.804778,123.432968
1947,25,23.46555,120.43304
1947,19,28.08498,106.51181
1947,43,36.11049,120.35569
1946,11,31.66221,121.33268
1946,31,31.166504,121.455295
1946,19,31.66221,121.33268
1946,31,27.89449,102.26305
1946,13,36.857201,117.216003
1946,17,34.26486,108.95424
1945,13,28.59213,119.27602
1944,12,29.64594,91.11532
1943,32,42.34508,94.67305
1942,13,24.994713,102.74595
1941,5,28.67417,115.66689
1940,9,36.85884,119.39862
1939,4,26.85702,104.27872
1938,14,22.51595,113.3926
1937,3,22.616667,114.670278
1922,14,39.7825,116.387778
